Scientific Field,Journal/Source,Paper Title and Year,Question,Option A,Option B,Option C,Option D,Correct Answer
Physics,Nature,Observation of a correlated free four-neutron system (2022),How short-lived is the tetraneutron state observed in 2022?,~3.8 × 10^−22 seconds,~3.8 × 10^−18 seconds,~3.8 × 10^−25 seconds,~3.8 × 10^−10 seconds,a
Physics,Nature,Ultracold triatomic molecules (2022),At what ultracold temperatures were triatomic molecules created in 2022 experiments?,Na₂K at 220 nK; NaOH at 110 µK,Na₂K at 220 mK; NaOH at 110 mK,Na₂K at 2.2 µK; NaOH at 11 nK,Na₂K at 22 K; NaOH at 1.1 K,a
Physics,Nature,Speed limits of optoelectronic switching (2022),What switching frequency did researchers demonstrate using 1 fs laser pulses?,1 petahertz (10^15 Hz),100 terahertz (10^14 Hz),10 terahertz (10^13 Hz),1 exahertz (10^18 Hz),a
Physics,Science,Gravitational Aharonov–Bohm effect (2022),How far apart were atomic wave packets split in the 2022 gravitational Aharonov–Bohm experiment?,~25 cm separation,~2.5 mm separation,~25 mm separation,~2.5 m separation,a
Physics,Science,W boson mass measurement (CDF II) (2022),What mass value did Fermilab's CDF II measure for the W boson in 2022?,80.4335 GeV/c² (±0.0094 GeV),81.4335 GeV/c² (±0.0094 GeV),79.4335 GeV/c² (±0.0094 GeV),80.4335 TeV/c² (±0.0094 TeV),a
Astronomy,NASA Press Release,James Webb Space Telescope First Light (2022),How many single-point failure items were identified in JWST's deployment sequence?,344,244,444,544,a
Astronomy,NASA/Johns Hopkins APL,DART: Double Asteroid Redirection Test (2022),By how much did the DART mission shorten the orbit of asteroid Dimorphos?,32 minutes,16 minutes,48 minutes,64 minutes,a
Astronomy,ApJ Lett.,Sagittarius A black hole image (2022),What is the mass of the Milky Way's central black hole Sagittarius A* (imaged in 2022)?,~4 × 10^6 solar masses,~4 × 10^5 solar masses,~4 × 10^7 solar masses,~4 × 10^8 solar masses,a
Engineering,Nature,Thermophotovoltaic cells top 40% efficiency (2022),What efficiency did the new thermophotovoltaic solid-state heat engine achieve?,> 40% efficiency,> 30% efficiency,> 50% efficiency,> 20% efficiency,a
Engineering,DOE Press Release,Inertial fusion ignition experiment (NIF) (2022),How much energy did the NIF fusion experiment produce vs. laser input?,3.15 MJ output from 2.05 MJ input (gain ≈ 1.5),2.05 MJ output from 2.05 MJ input (gain ≈ 1.0),4.1 MJ output from 2.05 MJ input (gain ≈ 2.0),1.03 MJ output from 2.05 MJ input (gain ≈ 0.5),a
Neuroscience,Nat. Med.,Electrical stimulation for spinal injury (2022),How many completely paralyzed patients regained the ability to walk using a new spinal implant?,Three patients,One patient,Ten patients,Five patients,a
Mathematics,ArXiv,Solution of the interpolation problem (2022),How long had the algebraic interpolation problem remained unsolved before 2022?,~170 years (since the 19th century),~70 years (since the 20th century),~270 years (since the 18th century),~370 years (since the 17th century),a
Mathematics,ArXiv,Optimal multi-bubble clusters proven (2022),What is the maximum number of bubbles for which the minimal surface partition was solved in 2022?,5 (quintuple bubble),3 (triple bubble),4 (quadruple bubble),6 (sextuple bubble),a
Mathematics,Ann. of Math.,Proof of the Kahn–Kalai conjecture (2022),"The Kahn–Kalai ""expectation threshold"" conjecture proven in 2022 shows the threshold gap is at most what factor?",log n,n,√n,constant,a
Biology,Science,The complete sequence of a human genome (2022),How long is the first gapless human genome sequence released in 2022?,3.055 billion base pairs,3.055 million base pairs,2.055 billion base pairs,4.055 billion base pairs,a
Biology,NEJM,Clarity AD: Lecanemab Phase 3 Trial (2022),By approximately what percentage did the antibody lecanemab slow cognitive decline in early Alzheimer's?,27%,10%,50%,90%,a
Biology,Nucleic Acids Res.,AlphaFold Protein Structure Database (2022),Roughly how many protein structures were made available in DeepMind's AlphaFold DB by 2022?,200 million+,2 million,20 million,2 billion,a
Computer Science,Nature,AlphaTensor: faster matrix algorithms (2022),How many scalar multiplications does AlphaTensor's new algorithm use to multiply two 4×4 matrices?,47 multiplications,49 multiplications,45 multiplications,51 multiplications,a
Computer Science,ArXiv,Pathways Language Model (PaLM) (2022),How many parameters does Google's PaLM large language model have?,540 billion,175 billion,1 trillion,17 billion,a
Computer Science,OpenAI (preprint),DALL·E 2 image generation (2022),What resolution images (in pixels) can the DALL·E 2 model generate from text?,1024 × 1024 pixels,512 × 512 pixels,2048 × 2048 pixels,4096 × 4096 pixels,a
Chemistry,Nature,FAST-PETase plastic degradation enzyme (2022),How quickly can the FAST-PETase enzyme break down PET plastic into monomers?,as fast as 24 hours,as fast as 7 days,as fast as 1 hour,as fast as 30 days,a
Chemistry,Joule,Record-efficiency triple-junction solar cell (2022),What single-sun power conversion efficiency did NREL's new triple-junction solar cell achieve?,39.5% efficiency,29.5% efficiency,49.5% efficiency,35.5% efficiency,a
Physics (Particle),Science,High-precision measurement of the W boson mass (2022),By how many standard deviations does the 2022 CDF II W boson mass result deviate from the Standard Model prediction?,By about 7σ,By about 3σ,By about 5σ,By about 10σ,a
Physics (Quantum),Nature,Qubit teleportation between non-neighbouring nodes in a quantum network (2022),What quantum state teleportation fidelity did researchers achieve in a 2022 three-node quantum network?,About 70.2% fidelity,About 60.2% fidelity,About 80.2% fidelity,About 90.2% fidelity,a
Physics (Quantum),Nature,Qubit teleportation between non-neighbouring nodes in a quantum network (2022),How frequently did successful teleportation events occur in the 2022 Delft quantum network experiment?,About one every 117 seconds,About one every 60 seconds,About one every 230 seconds,About one every 10 seconds,a
Physics (Condensed Matter),PNAS,On the Electron Pairing Mechanism of High Tc Superconductivity (2022),Which pairing mechanism for high-Tc cuprate superconductors was confirmed in 2022?,Charge-transfer superexchange interactions,Phonon-mediated coupling,Spin fluctuations,Magnetic resonance,a
Physics (Collider),Phys. Rev. Lett.,First Direct Observation of Collider Neutrinos with FASER at the LHC (2023),With what significance did the FASER experiment observe neutrino interactions at the LHC?,16σ significance,12σ significance,20σ significance,8σ significance,a
Physics (Cosmology),arXiv,A Comprehensive Measurement of the Local Value of H0 (2022),What local Hubble constant did Riess's team report in 2022?,73.04 ± 1.04 km/s/Mpc,67.4 ± 1.04 km/s/Mpc,75.04 ± 1.04 km/s/Mpc,71.04 ± 1.04 km/s/Mpc,a
Mathematics (Combinatorics),Annals of Mathematics,An approximate solution to the Kahn–Kalai conjecture (2022),Which major conjecture about thresholds in random graphs was proven with a short proof in 2022?,The Kahn–Kalai expectation-threshold conjecture,The Erdős–Rényi threshold conjecture,The Friedgut–Kalai minimum degree conjecture,The Bollobás–Thomason threshold conjecture,a
Mathematics (Geometry),arXiv,The Structure of Isoperimetric Bubbles (2022),"What long-standing ""bubble"" problem did mathematicians solve in 2022?",Sullivan's conjecture for optimal bubble clusters,Plateau's problem for soap films,The Kelvin conjecture for space-filling structures,The double bubble conjecture,a
Mathematics (Algebraic),Annals of Math.,Proof of the André–Oort conjecture for A_g (2022),Which 30-year-old conjecture about special points on Shimura varieties was proven in 2022?,The André–Oort conjecture,The Zilber–Pink conjecture,The Coleman–Oort conjecture,The Manin–Mumford conjecture,a
Mathematics (Algebra),Izv. Math.,On the Van der Waerden conjecture (2022),What did the solved 85-year-old Van der Waerden conjecture (2022) concern?,The nature of polynomial roots,Permanent of doubly stochastic matrices,Partition functions in number theory,Ramsey theory in combinatorics,a
Biology (Genomics),Science,The complete sequence of a human genome (2022),"What fraction of the human genome was newly decoded in 2022 to make it ""complete""?",About 8% of the genome,About 2% of the genome,About 15% of the genome,About 25% of the genome,a
Biology (Medicine),N. Engl. J. Med.,First successful pig-to-human cardiac xenotransplant (2022),How long did the patient survive after receiving a genetically modified pig heart transplant in January 2022?,About 2 months,About 2 weeks,About 2 days,About 2 years,a
Biology (Medicine),N. Engl. J. Med.,First successful pig-to-human cardiac xenotransplant (2022),How many gene modifications did the donor pig have in the groundbreaking 2022 heart transplant?,10 gene edits,6 gene edits,15 gene edits,3 gene edits,a
Medicine (Neurology),N. Engl. J. Med.,Lecanemab in Early Alzheimer's Disease (2022),By roughly what percentage did the antibody drug lecanemab slow cognitive decline in early Alzheimer's?,About a 27% slowing of decline,About a 17% slowing of decline,About a 37% slowing of decline,About a 47% slowing of decline,a
Neuroscience (BCI),Nature (UCSF News),High-performance brain-to-text communication via neural decoding (2022),What speech communication rate was achieved by a brain-computer interface in 2022?,About 62 words per minute,About 42 words per minute,About 82 words per minute,About 22 words per minute,a
Computer Science (AI),Science,Competition-Level Code Generation with AlphaCode (2022),How did DeepMind's AlphaCode perform on coding challenges in 2022 relative to human competitors?,It achieved about 54th percentile ranking,It achieved about 34th percentile ranking,It achieved about 74th percentile ranking,It achieved about 94th percentile ranking,a
Computer Science (AI),Nature,Discovering faster matrix multiplication algorithms with RL (2022),What is the new record for the number of scalar multiplications needed to multiply two 4×4 matrices (found in 2022)?,47 multiplications,49 multiplications,45 multiplications,43 multiplications,a
Computer Science (CV),CVPR 2022,High-Resolution Image Synthesis with Latent Diffusion Models (2022),What key innovation allowed 2022's latent diffusion models to generate high-res images efficiently?,Performing diffusion in a compressed latent space,Using highly optimized tensor cores,Implementing parallel processing schemes,Bypassing the diffusion process altogether,a
Computer Science (Vision),CVPR 2022,High-Resolution Image Synthesis with Latent Diffusion Models (2022),How did 2022 latent diffusion models compare in performance to prior pixel-space diffusion models?,Better image synthesis with much lower computational cost,Worse image quality with lower computational cost,Better image quality but higher computational cost,Similar quality with similar computational cost,a
Chemistry (Click Chemistry),PMCID: PMC9892422,Copper-catalyzed azide–alkyne cycloaddition (review) (2022),"How efficient is the copper-catalyzed azide–alkyne ""click"" reaction in water?",It gives nearly quantitative yield (close to 100%),It gives moderate yield (close to 75%),It gives low yield (close to 50%),It gives poor yield (close to 25%),a
Chemistry (Catalysis),Chem. Science,Self-improving catalyst boosts hydrogen generation from ammonia (2022),What was unusual about the ammonia-cracking Ru catalyst reported in 2022?,Its activity increased with use,Its activity decreased with use,Its activity remained constant with use,Its activity oscillated with use,a
